0.100000 0.000000 -0.981000
0.200000 -0.098100 -1.958608
0.300000 -0.293961 -2.926085
0.400000 -0.586569 -3.876904
0.500000 -0.974260 -4.804923
0.600000 -1.454752 -5.704540
0.700000 -2.025206 -6.570830
0.800000 -2.682289 -7.399635
0.900000 -3.422253 -8.187626
1.000000 -4.241015 -8.932320
1.100000 -5.134247 -9.632072
1.200000 -6.097455 -10.286035
1.300000 -7.126058 -10.894081
1.400000 -8.215466 -11.456731
1.500000 -9.361139 -11.975051
1.600000 -10.558644 -12.450560
1.700000 -11.803700 -12.885127
1.800000 -13.092213 -13.280884
1.900000 -14.420301 -13.640138
2.000000 -15.784315 -13.965300
2.100000 -17.180845 -14.258821
2.200000 -18.606728 -14.523139
2.300000 -20.059042 -14.760640
2.400000 -21.535107 -14.973625
2.500000 -23.032469 -15.164287
2.600000 -24.548897 -15.334693
2.700000 -26.082367 -15.486779
2.800000 -27.631044 -15.622342
2.900000 -29.193279 -15.743039
3.000000 -30.767584 -15.850391
3.100000 -32.352623 -15.945788
3.200000 -33.947201 -16.030493
3.300000 -35.550251 -16.105650
3.400000 -37.160816 -16.172293
3.500000 -38.778046 -16.231354
3.600000 -40.401180 -16.283669
3.700000 -42.029549 -16.329987
3.800000 -43.662548 -16.370979
3.900000 -45.299644 -16.407248
4.000000 -46.940369 -16.439325
4.100000 -48.584301 -16.467690
4.200000 -50.231071 -16.492764
4.300000 -51.880348 -16.514923
4.400000 -53.531841 -16.534506
4.500000 -55.185291 -16.551807
4.600000 -56.840473 -16.567091
4.700000 -58.497181 -16.580589
4.800000 -60.155239 -16.592510
4.900000 -61.814491 -16.603037
5.000000 -63.474796 -16.612333
5.100000 -65.136032 -16.620541
5.200000 -66.798088 -16.627787
5.300000 -68.460869 -16.634184
5.400000 -70.124290 -16.639830
5.500000 -71.788277 -16.644814
5.600000 -73.452759 -16.649214
5.700000 -75.117683 -16.653097
5.800000 -76.782990 -16.656525
5.900000 -78.448639 -16.659550
6.000000 -80.114594 -16.662220
6.100000 -81.780815 -16.664576
6.200000 -83.447273 -16.666655
6.300000 -85.113937 -16.668489
6.400000 -86.780785 -16.670109
6.500000 -88.447792 -16.671537
6.600000 -90.114944 -16.672798
6.700000 -91.782227 -16.673910
6.800000 -93.449615 -16.674892
6.900000 -95.117104 -16.675758
7.000000 -96.784683 -16.676523
7.100000 -98.452339 -16.677198
7.200000 -100.120056 -16.677794
7.300000 -101.787834 -16.678318
7.400000 -103.455666 -16.678782
7.500000 -105.123543 -16.679192
7.600000 -106.791458 -16.679552
7.700000 -108.459412 -16.679871
7.800000 -110.127396 -16.680153
7.900000 -111.795410 -16.680401
8.000000 -113.463448 -16.680620
8.100000 -115.131508 -16.680813
8.200000 -116.799591 -16.680983
8.300000 -118.467690 -16.681133
8.400000 -120.135803 -16.681267
8.500000 -121.803932 -16.681383
8.600000 -123.472069 -16.681486
8.700000 -125.140221 -16.681578
8.800000 -126.808380 -16.681658
8.900000 -128.476547 -16.681728
9.000000 -130.144714 -16.681791
9.100000 -131.812897 -16.681847
9.200000 -133.481079 -16.681896
9.300000 -135.149261 -16.681940
9.400000 -136.817459 -16.681978
9.500000 -138.485657 -16.682011
9.600000 -140.153854 -16.682041
9.700000 -141.822052 -16.682068
9.800000 -143.490265 -16.682091
9.900000 -145.158478 -16.682112
